marker1,marker2,marker3,distance1,distance2,distance3,AAA,AAB,AAH,ABA,ABB,ABH,AHA,AHB,AHH,BAA,BAB,BAH,BBA,BBB,BBH,BHA,BHB,BHH,HAA,HAB,HAH,HBA,HBB,HBH,HHA,HHB,HHH
D1M75,D1M81,D1M88,99.32885906,107.3825503,116.7785235,431,13,141,0,6,1,18,20,118,9,0,1,14,471,121,15,23,112,120,1,33,0,124,25,148,139,895
D1M81,D1M87,D1M88,107.3825503,115.4362416,116.7785235,559,0,16,0,7,1,1,7,158,9,0,0,0,601,17,5,0,130,148,0,8,0,142,2,33,40,1115
D1M84,D1M85,D1M97,111.409396,112.7516779,128.8590604,464,26,246,0,0,0,1,7,22,0,0,0,19,476,242,4,1,20,19,0,10,1,19,5,235,228,954
D1M84,D1M85,D1M98,111.409396,112.7516779,130.2013423,454,32,250,0,0,0,1,7,22,0,0,0,21,465,251,4,1,20,18,0,11,1,19,5,231,240,946
D1M84,D1M85,D1M91,111.409396,112.7516779,120.8053691,577,11,148,0,0,0,2,7,21,0,0,0,9,597,131,3,2,20,23,0,6,0,23,2,135,140,1142
D1M84,D1M97,D1M98,111.409396,128.8590604,130.2013423,445,0,20,0,32,1,10,7,251,20,0,3,0,460,17,5,6,251,237,0,18,0,238,9,13,21,935
D1M84,D1M91,D1M97,111.409396,120.8053691,128.8590604,455,5,119,1,12,5,9,16,144,11,0,1,3,471,125,9,6,136,125,2,31,0,125,38,130,120,900
D1M84,D1M91,D1M98,111.409396,120.8053691,130.2013423,439,7,133,1,11,6,15,21,133,10,0,2,4,456,139,11,10,130,117,2,39,1,120,42,132,137,881
D1M85,D1M97,D1M98,112.7516779,128.8590604,130.2013423,462,0,21,0,26,0,10,6,240,17,0,3,0,478,17,5,6,236,223,0,17,0,226,10,13,22,961
D1M85,D1M91,D1M97,112.7516779,120.8053691,128.8590604,470,5,125,1,7,3,12,14,128,9,0,0,3,490,127,8,5,120,112,2,26,0,111,38,128,123,932
